"Gene","Group"
"VCAN","HALLMARK_APICAL_JUNCTION"
"VCL","HALLMARK_APICAL_JUNCTION"
"VWF","HALLMARK_APICAL_JUNCTION"
"WASL","HALLMARK_APICAL_JUNCTION"
"WNK4","HALLMARK_APICAL_JUNCTION"
"YWHAH","HALLMARK_APICAL_JUNCTION"
"ZAK","HALLMARK_APICAL_JUNCTION"
"ZYX","HALLMARK_APICAL_JUNCTION"
"AGER","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"APP","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"ATF1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"ATF2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"BTK","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"CD14","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"CDK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"CHUK","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"CREB1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"DUSP3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"DUSP4","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"DUSP6","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"DUSP7","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"ECSIT","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"ELK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"FOS","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"HMGB1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IKBKB","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IKBKE","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IKBKG","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRAK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRAK2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRAK3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRAK4","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRF3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"IRF7","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"JUN","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"LOC650832","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"LY96","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K4","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K6","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP2K7","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAP3K1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
